SNo,Date,Covid Status
2020,7/13/2015,0
2021,7/14/2015,0
2022,7/15/2015,0
2023,7/16/2015,0
2024,7/17/2015,0
2025,7/18/2015,0
2026,7/19/2015,0
2027,7/20/2015,0
2028,7/21/2015,0
2029,7/22/2015,0
2030,7/23/2015,0
2031,7/24/2015,0
2032,7/25/2015,0
2033,7/26/2015,0
2034,7/27/2015,0
2035,7/28/2015,0
2036,7/29/2015,0
2037,7/30/2015,0
2038,7/31/2015,0
2039,8/1/2015,0
2040,8/2/2015,0
2041,8/3/2015,0
2042,8/4/2015,0
2043,8/5/2015,0
2044,8/6/2015,0
2045,8/7/2015,0
2046,8/8/2015,0
2047,8/9/2015,0
2048,8/10/2015,0
2049,8/11/2015,0
2050,8/12/2015,0
2051,8/13/2015,0
2052,8/14/2015,0
2053,8/15/2015,0
2054,8/16/2015,0
2055,8/17/2015,0
2056,8/18/2015,0
2057,8/19/2015,0
2058,8/20/2015,0
2059,8/21/2015,0
2060,8/22/2015,0
2061,8/23/2015,0
2062,8/24/2015,0
2063,8/25/2015,0
2064,8/26/2015,0
2065,8/27/2015,0
2066,8/28/2015,0
2067,8/29/2015,0
2068,8/30/2015,0
2069,8/31/2015,0
2070,9/1/2015,0
2071,9/2/2015,0
2072,9/3/2015,0
2073,9/4/2015,0
2074,9/5/2015,0
2075,9/6/2015,0
2076,9/7/2015,0
2077,9/8/2015,0
2078,9/9/2015,0
2079,9/10/2015,0
2080,9/11/2015,0
2081,9/12/2015,0
2082,9/13/2015,0
2083,9/14/2015,0
2084,9/15/2015,0
2085,9/16/2015,0
2086,9/17/2015,0
2087,9/18/2015,0
2088,9/19/2015,0
2089,9/20/2015,0
2090,9/21/2015,0
2091,9/22/2015,0
2092,9/23/2015,0
2093,9/24/2015,0
2094,9/25/2015,0
2095,9/26/2015,0
2096,9/27/2015,0
2097,9/28/2015,0
2098,9/29/2015,0
2099,9/30/2015,0
2100,10/1/2015,0
2101,10/2/2015,0
2102,10/3/2015,0
2103,10/4/2015,0
2104,10/5/2015,0
2105,10/6/2015,0
2106,10/7/2015,0
2107,10/8/2015,0
2108,10/9/2015,0
2109,10/10/2015,0
2110,10/11/2015,0
2111,10/12/2015,0
2112,10/13/2015,0
2113,10/14/2015,0
2114,10/15/2015,0
2115,10/16/2015,0
2116,10/17/2015,0
2117,10/18/2015,0
2118,10/19/2015,0
2119,10/20/2015,0
2120,10/21/2015,0
2121,10/22/2015,0
2122,10/23/2015,0
2123,10/24/2015,0
2124,10/25/2015,0
2125,10/26/2015,0
2126,10/27/2015,0
2127,10/28/2015,0
2128,10/29/2015,0
2129,10/30/2015,0
2130,10/31/2015,0
2131,11/1/2015,0
2132,11/2/2015,0
2133,11/3/2015,0
2134,11/4/2015,0
2135,11/5/2015,0
2136,11/6/2015,0
2137,11/7/2015,0
2138,11/8/2015,0
2139,11/9/2015,0
2140,11/10/2015,0
2141,11/11/2015,0
2142,11/12/2015,0
2143,11/13/2015,0
2144,11/14/2015,0
2145,11/15/2015,0
2146,11/16/2015,0
2147,11/17/2015,0
2148,11/18/2015,0
2149,11/19/2015,0
2150,11/20/2015,0
2151,11/21/2015,0
2152,11/22/2015,0
2153,11/23/2015,0
2154,11/24/2015,0
2155,11/25/2015,0
2156,11/26/2015,0
2157,11/27/2015,0
2158,11/28/2015,0
2159,11/29/2015,0
2160,11/30/2015,0
2161,12/1/2015,0
2162,12/2/2015,0
2163,12/3/2015,0
2164,12/4/2015,0
2165,12/5/2015,0
2166,12/6/2015,0
2167,12/7/2015,0
2168,12/8/2015,0
2169,12/9/2015,0
2170,12/10/2015,0
2171,12/11/2015,0
2172,12/12/2015,0
2173,12/13/2015,0
2174,12/14/2015,0
2175,12/15/2015,0
2176,12/16/2015,0
2177,12/17/2015,0
2178,12/18/2015,0
2179,12/19/2015,0
2180,12/20/2015,0
2181,12/21/2015,0
2182,12/22/2015,0
2183,12/23/2015,0
2184,12/24/2015,0
2185,12/25/2015,0
2186,12/26/2015,0
2187,12/27/2015,0
2188,12/28/2015,0
2189,12/29/2015,0
2190,12/30/2015,0
2191,12/31/2015,0
2192,1/1/2016,0
2193,1/2/2016,0
2194,1/3/2016,0
2195,1/4/2016,0
2196,1/5/2016,0
2197,1/6/2016,0
2198,1/7/2016,0
2199,1/8/2016,0
2200,1/9/2016,0
2201,1/10/2016,0
2202,1/11/2016,0
2203,1/12/2016,0
2204,1/13/2016,0
2205,1/14/2016,0
2206,1/15/2016,0
2207,1/16/2016,0
2208,1/17/2016,0
2209,1/18/2016,0
2210,1/19/2016,0
2211,1/20/2016,0
2212,1/21/2016,0
2213,1/22/2016,0
2214,1/23/2016,0
2215,1/24/2016,0
2216,1/25/2016,0
2217,1/26/2016,0
2218,1/27/2016,0
2219,1/28/2016,0
2220,1/29/2016,0
2221,1/30/2016,0
2222,1/31/2016,0
2223,2/1/2016,0
2224,2/2/2016,0
2225,2/3/2016,0
2226,2/4/2016,0
2227,2/5/2016,0
2228,2/6/2016,0
2229,2/7/2016,0
2230,2/8/2016,0
2231,2/9/2016,0
2232,2/10/2016,0
2233,2/11/2016,0
2234,2/12/2016,0
2235,2/13/2016,0
2236,2/14/2016,0
2237,2/15/2016,0
2238,2/16/2016,0
2239,2/17/2016,0
2240,2/18/2016,0
2241,2/19/2016,0
2242,2/20/2016,0
2243,2/21/2016,0
2244,2/22/2016,0
2245,2/23/2016,0
2246,2/24/2016,0
2247,2/25/2016,0
2248,2/26/2016,0
2249,2/27/2016,0
2250,2/28/2016,0
2251,2/29/2016,0
2252,3/1/2016,0
2253,3/2/2016,0
2254,3/3/2016,0
2255,3/4/2016,0
2256,3/5/2016,0
2257,3/6/2016,0
2258,3/7/2016,0
2259,3/8/2016,0
2260,3/9/2016,0
2261,3/10/2016,0
2262,3/11/2016,0
2263,3/12/2016,0
2264,3/13/2016,0
2265,3/14/2016,0
2266,3/15/2016,0
2267,3/16/2016,0
2268,3/17/2016,0
2269,3/18/2016,0
2270,3/19/2016,0
2271,3/20/2016,0
2272,3/21/2016,0
2273,3/22/2016,0
2274,3/23/2016,0
2275,3/24/2016,0
2276,3/25/2016,0
